_BNYLZ,（ ）不能用来做研具材料。,"高碳钢"
EXQCBS,EQ1092型汽车变速器中的同步器型式为（ ）结构。,"自动增力式"
HDDDLS,HID大灯点亮时会产生（ ）伏电压。,"几万"
MBS_,M20表示（ ）。,"普通粗螺纹"
TSY_,T8A属于（ ）。,"碳素工具钢"
TXYDST,T8014型移动式镗缸机的最大镗孔直径是（ ）。,"Φ66～Φ140"
UBLKYG,UV玻璃可以过滤（ ）。,"紫外线"
XJMQCM,X431 解码器触摸屏有灰尘时，用（ ）清洁。,"麂皮"
ZSYYZZ,ZL108适用于制作（ ）。,"活塞"
_DKFDJ, 电控发动机的燃油压力低会引起发动机不能起动或运转不良故障，这故障可能是由于（ ），压力调节器或从油箱到燃油滤清器连接的任何地方有阻力所引起。,"脉动阻尼器故障"
_LYZMH, 利用字母和（ ）可对设备、部件或电路图中的线路符号作标注 。,"数码"
_YBQCZ, 一般汽车正常行驶时（ ）排放量最多，（ ）排放量最少。,"NoxCO"
_ZDYLT, 制动压力调节器是ABS中的主要执行器， 根据调压方式的不同， 制动压力调节器可分为（ ）和变容式两种。,"电子式"
_F_LJY,"非“逻辑运算时， O= （ ）。,"1"
_HQCYS,-10号轻柴油适合于最低气温在（ ）℃以上的地区使用。,"-5"
_KYYZZ,16Mn可用于制作（ ）。,"汽车车架"
_KYYZZ,40MnB可用于制作汽车（ ）。,"变速箱二轴"
_SYZTZ,40Cr是一种调质钢，用于制作水泵轴，为获得良好的综合机械性能，它的最终热处理方法是（ ）。,"淬火+高温回火"
AZEXQC,安装EQ1092型汽车转向桥下耳时，其轴承的开口应（ ）。,"向任何方向"
AZGDGD,按照GB7631.7-1995的规定，齿轮油分为普通汽车齿轮油、中负荷汽车齿轮油和（ ）3个品种,"重负荷汽车齿轮油"
AZDNZC,按制动能最传输方式，制动系可分为（ ）。,"机械式"
AZDSMD,安装怠速马达的车辆在怠速时，节气门处于（ ）状态。,"关闭"
AZSHST,安装上海桑塔纳JV发动机活塞环时，其第二道压缩环上的“TOP”标记应（ ）。,"背向活塞顶部"
BEJZS_,把二进制数 1001 转换为十进制数为（ ）。,"7"
BFBBPK,百分表表盘刻度为100格，长针转动一格为（ ）mm。,"0.01"
BFBBPK,百分表表盘刻度为100格，短针转动一圈为（ ）mm。,"1"
BFBCZZ,百分表长针转动一圈，短针则转（ ）格。,"一"
BFBDDZ,百分表的大指针每走一格为（ ）。,"0.01"
BFBDGG,百分表的规格"0~10mm"表示（ ）。,"测量范围"
BHJDKZ,闭合角的控制包括通过电流的控制和（ ）。,"一次电压控制"
BKXSJJ,别克新世纪轿车水温为（ ）℃时其冷却风扇应低速运行。,"106"
BMCCDY,表面粗糙度一般是因（ ）形成的,"加工"
BSGDSZ,办事公道是指从业人员在进行职业活动时要做到（ ）,"追求真理，坚持原则"
BSQDCZ,变速器的操纵机构中安装了倒挡锁装置、自锁装置和（ ）。,"互锁装置"
BSQGDH,变速器挂档后不能脱回空档，应拆下（ ），检查操纵杆下端弧形工作面和拨叉导块凹槽磨损是否过大。,"变速器操纵杆"
BSQQHB,变速器前后壁变形将导致其与轴承孔轴线（ ）的变化。,"垂直度"
BSQYKB,表示汽油抗爆性的指标是（ ）。,"辛烷值"
BSQYZF,表示汽油蒸发性的指标是（ ）。,"馏程和饱和蒸气压"
BSYPSZ,不属于盘式制动器的优点是（ ）。,"制动力较为稳定"
BTQYFD,不同汽油发动机的有效功率，随（ ）增加而增加。,"发动机功率"
BZDDTY,不装订的图样（ ）画出边框,"必须"
CCXYY_,尺寸线应用（ ）绘制。,"细实线"
CDACWD,锉刀按齿纹的粗细不同又可分为粗锉、中锉、细锉和（ ）等。,"油光锉"
CDHKDW,长度和宽度为210B297 的图纸是（ ）纸,"A4"
CDHKDW,长度和宽度为210×297的图纸是（ ）纸,"A4"
CHSWL_,淬火是为了（ ）。,"提高硬度"
CJDTDZ,常见的通断装置是指开关和（ ）。,"继电器"
CLCTSZ,齿轮齿条式转向器的（ ）。,"正、逆效率都高"
CLQGDY,测量气缸的圆柱度、圆度误差时，首先要确定气缸的（ ），才能校对量缸表。,"标准尺寸"
CLQGZJ,测量气缸直径，可将量缸表放入气缸上部，若表针能转动（ ）圈左右，表示调整合适。,"一"
CLS_BF,测量时，百分表的指针应（ ）。,"与测量表面垂直"
CLWCYX,测量误差越小，测量结果越接近真值，则测量精度（ ）。,"越高"
CQCSCX,从汽车上拆卸蓄电池时，应先拆（ ）。,"搭铁电缆"
CSBLYB,彩色玻璃一般用于（ ）。,"风窗玻璃"
CXLSYG,拆卸螺栓应该使用（ ）。,"套筒扳手"
CXSGJC,拆卸水管夹雏可以使用（ ）。,"鲤鱼钳"
CXSGJK,拆卸水管夹可以使用（ ）。,"鲤鱼钳"
CXS_ZJ,锉削时，（ ）在加工表面处加少许机油以便冷却和润滑。,"不可"
CXS_TS,锉削时，推送锉刀要平稳，向前推时下压，左手压力（ ），右手压力由小变大，向后拉时不加压。,"不变"
CY_S_C,采用（ ）时，车桥都是断开式的,"独立悬架"
CYDPFS,常用的剖分式轴承被称为轴瓦，一般在轴瓦内表面铸一层（ ）材料。,"减磨"
CYDTHJ,采用低碳合金钢20CrMnTi制作的汽车传动齿轮，要求表面有高的硬度和耐磨性，心部具有良好的韧性，其最终热处理应采用（ ）。,"渗碳+淬火+低温回火"
CYDTHQ,常用的台虎钳有（ ）和固定式两种。,"回转式"
CYFDJD,柴油发动机的（ ）开始压油到上止点为止的曲轴转角称为喷油提前角,"喷油泵"
CYFDJD,柴油发动机的混合气是在（ ）内形成的。,"燃烧室"
CYJRLG,柴油机燃料供给装置由柴油箱，输油泵，低、高压油路，喷油泵、（ ）、回油管等组成,"喷油器"
CYJYSY,柴油机油使用级的选择，主要根据柴油机的（ ）。,"强化程度"
CYSJGD,采用三角刮刀进行曲面刮削时，三角刮刀应在曲面内做（ ）。,"螺旋运动"
DCKGJQ,电磁开关将汽车起动机主电路接通后，活动铁心（ ）线圈产生的电磁力保持在吸合位置上。,"吸拉和保持"
DCXLHQ,当出现离合器发抖时，拆下离合器底盖，检查分离杆（ ）高低是否一致，如不一致，应予以调整。,"内端"
DCYJKZ,当采用基孔制时，其基本偏差是（ ）,"下偏差"
DFDJGZ,当发动机工作稳定后，电磁喷油器的喷油量主要决定于（ ）。,"工作温度"
DHKZXT,点火控制系统中的基本点火提前角是 ECU 根据（ ）信号和进气歧管压力信号（或进气量信号）决定的。,"发动机转速"
DHTQJT,点火提前角调整不当可能是（ ）的故障原因。,"发动机怠速不良"
DHYCZO,点火钥匙在ON挡，打开风窗玻璃清洗液开关，没有液体喷出，可能的原因是（ ）。,"其他选项都有可能"
DJCDGZ,当检测到故障时，自诊断系统完成以下基本工作，以指示灯向驾驶员发出故障信号，起动带故障运行控制功能，并（ ）。,"储存故障信息"
DJYYLJ,当机油压力警示灯点亮时，发动机（ ）。,"应立即停止工作，检查故障原因"
DKDHKG,打开点火开关并启动发动机，发动机故障警示灯（ ）。,"应先亮后灭"
DKFDJG,电控发动机根据（ ），设置喷油量。,"固定油量"
DKFDJZ,电控发动机转速传感器安装在（ ）。,"曲轴后"
DKRYPS,电控燃油喷射系统按其功用来分，主要由进气系统（ ）和电子控制系统三部分组成。,"燃油供给系统"
DLQSWD,当冷却水温度达到（ ）℃时， 步进电动机式怠速控制执行机构的暖机控制结束，怠速控制阀达到正常怠速开度。,"90"
DLQSWG,当冷却水温高于（ ）℃时，节温器主阀门全开，副阀门全关，冷却水在全部流经散热器进行水的大循环，使发动机保持正常工作温度,"86"
DLSZDG,电流所做的功，与加在负荷两端的电压成正比，与通过负载的电流成（ ）。,"正比"
DLXJCQ,独立悬架车桥都做成断开式的，每边车轮均用（ ）单独地连接在车架下面。,"螺旋弹簧"
DPFDJD,电喷发动机怠速一般是不能用人工方法调整的，非调整不可时，可借助于（ ）,"电脑诊断仪"
DQMZLG,对全面质量管理方法的特点描述恰当的是（ ）,"多样性"
DQR_GZ,当确认（ ）故障时，计算机根据故障的严重程度采取相应的安全措施。,"执行器"
DQSBEJ,电器设备二级维护作业内容包括清洁起动机换向器，清洗检查轴承，填充（ ）。,"润滑脂"
DSJXZW,对涉及旋转物体的工作，要（ ）。,"以上选项都正确"
DXDLHQ,大修的离合器应在装车前与（ ）一起进行平衡,"曲轴飞轮组"
DY_YXD,对于10 pF 以下的小电容器，当用万用表RB10K 档来测量时，其阻值应为（ ）,"无穷大"
DYCCCG,对于存储超过2年的干式荷电铅蓄电池，使用前应先（ ）。,"补充电解液"
DYLGFD,对于六缸发动机，用逐缸调整法调整气门间隙时，应将曲轴摇到第1 缸活塞（ ）上止点位置，同时注意标记,"压缩行程"
DYSPFZ,对于水平放置的三轴式变速器，当位于五档位置时，将第二轴四、五档接合套向前移动与第一轴主动齿轮的接合齿圈啮合，动力不经过（ ）的齿轮传动，故称为直接档,"中间轴"
DYYYQJ,对于油压千斤顶重物应置于（ ）,"大液压缸上"
DZDHKZ,电子点火控制装置最核心的部件是（ ）。,"点火线圈"
DZDHXT,电子点火系统主要由传感器、EU、点火模块、（ ）、火花塞等组成。,"三极管"
DZDLBZ,当制动力不足时，可连续踏下踏板，使总泵的油液更多地流入（ ），增加系统内油液的压强，从而提高制动力,"分泵"
DZKZZD,电子控制自动变速器的控制功能主要有（ ），为了改善换挡质量，电控系统还有其他控制功能，如发动机转矩控制等。,"换挡正时控制"
DZTJQD,电子调节器都是根据发电机端电压的变化，使（ ）及时地导通或截止，进一步控制大功率三极管饱和和截止，使发电机端电压不变,"稳压管"
FCBLSD,风窗玻璃上的彩色区域，一般不超过总面积的（ ）。,"0.2"
FDJBFD,发电机不发电故障的现象为发动机高于怠速运转时，（ ）指示放电的指示灯亮。,"电流表"
FDJCS_,发电机产生（ ）相交流电。,"三"
FDJDKR,发动机电控燃油喷射系统具有（ ）,"良好的燃油经济性"
FDJDRX,发动机的热效率只能（ ）100%。,"小于"
FDJDZR,发电机定子绕组有一相连接不良或断开将会导致（ ）。,"充电电流过大"
FDJFSX,发动机发生下列（ ）现象，可能是混合气过稀的故障现象,"发动机无法起动"
FDJGTC,发动机缸套产生穴蚀的主要原因是：缸套与（ ）接触在高频振动下形成的。,"水"
FDJG_C,发动机盖、车门采用（ ）。,"冷轧板"
FDJHSH,发动机活塞环开口间隙过小，会导致活塞环（ ）。,"折断"
FDJPQJ,发动机配气机构可分为气门组和气门传动组，下列零件中（ ）不属于气门组。,"气门挺柱"
FDJQGT,发动机气缸体、气缸盖在修理时，在（ ）MPa 的水压下做 5 min 水压试验，不得渗漏。,"0.3-0.4"
FDJSPM,发动机上平面翘曲后，应采用（ ）修理。,"磨削"
FDJXNZ,发动机性能指标随调整情况和使用工况而变化的关系称为（ ）。,"发动机特性"
FDJYJW,发动机一级维护作业的内容主要有更换发动机机油和（ ）、补充冷却液、维护或更换空气滤清器滤芯、清洁火花塞、维护燃料系统、维护点火系统等,"机油滤清器"
FDQDDC,分电器断电触点间隙过大是（ ）的故障原因之一。,"发动机点火过早"
FT_XZD,丰田 A43DE 型自动变速器 ，以D挡高速行驶时， 如把加速踏板急踩到底， 会从（ ）。,"一挡到二挡"
FZSYPM,浮子室油平面调整不当或三角针阀密封不严，会导致（ ）。,"混合气过浓"
GBTLKS,攻不通螺孔时，由于丝锥不能切到底，所以钻孔深度要（ ）螺纹长度。,"大于"
GCTLST,国产T716立式镗床最大镗孔长度为（ ）mm。,"150"
GCCTDG,构成车体的钢板要求（ ）。,"比上选项都正确"
GDDMXY,刮刀的磨削应该使用（ ）。,"油石"
GDZCXH,滚动轴承型号中的尺寸系列代号的作用是区别内径相同而（ ）的轴承。,"宽度不同"
GHBLBN,钢化玻璃不能用于（ ）。,"风窗玻璃"
GHFDJJ,更换发动机机油后，应（ ）,"起动发动机，怠速运转数分钟，停机30min 后，用油标尺检查油面是否在2/4～4／4 之间，不足时应补加。最后盖好加机油口盖"
GHFDJL,更换发动机冷却液时间要求是长效防锈防冻液每（ ）更换一次,"两年"
GHFDJR,更换发动机润滑油技术要求是润滑油量应位于油标尺（ ）,"上刻线与下刻线之间"
GHJZQS,更换减振器时，柱塞杆应用（ ）阻止活塞杆转动，松开带槽螺母,"内六角扳手"
GHQCLH,更换汽车离合器新摩擦片，各片厚度差不得超过（ ）mm。,"0.1"
GHWXCD,更换万向传动装置时，油嘴的安装方向应便于加注润滑脂。因此，油嘴必须朝向（ ）一方,"传动轴"
GJBZGD,国家标准规定，在每一个基本尺寸段内，都有（ ）个公差等级的标准公差。,"20"
GJZDYD,根据制动液的组成和特性，一般分为5 种类型，其中（ ）和脂型统称为合成型,"醇醚型"
GLWQBX,攻螺纹前必须先钻底孔，钻孔孔径应（ ）螺纹的内径。,"小于"
GPGBDH,各片钢板弹簧的中心螺栓孔应对正，且每片的横向位移不得超过主片的（ ）mm,"2.5"
GSHDQX,干式荷电铅蓄电池正极板上的活性物质是（ ）。,"二氧化铁"
GSZDQB,鼓式制动器不包括（ ）。,"浮动钳盘式"
GWFDJR,国外发动机润滑油的分类法是（ ）。,"API性能分类和SAE粘度分类"
GYCXDL,关于创新的论述，正确的是（ ）,"创新是企业进步的灵魂"
GYDLCS,感应电流产生的条件是（ ）。,"电路是闭合回路"
GYMHQD,关于灭火器的使用正确的是（ ）,"灭火器要专物专用，定期保养"
GYQCXL,关于汽车修理工艺过程进厂验收的目的，下列说法不正确的是（ ）。,"确定汽车零件清洗方法"
GYXZDD,高压线中的电阻导体为（ ）材料。,"铜线"
GZZYLX,钢在作用力下会伸长，在（ ）范围内，随着力的消退会恢复原样。,"弹性极限"
HHSDZW,火花塞的自我净化温度大约在（ ）℃。,"35"
HHSWL_,回火是为了（ ）。,"增加韧性"
HJJGGP,合金结构钢牌号中的前两位数字用来表示钢中含碳量是（ ）,"万分之几"
HYQZLK,化油器主量孔、主油道堵塞不畅会导致（ ）。,"混合气过浓"
JCDKZD,检测电控自动变速器时，为确定故障存在的部位，区分故障是机械系统、液压控制系统还是电子控制系统引起的，应当进行（ ）。,"基础检查"
JCJGCS,检查紧固差速器壳固定螺栓时，螺栓的（ ）必须齐全，并且锁止有效,"锁止装置"
JCQGYL,检查气缸压力时，需将（ ）火花塞拆除。,"全部"
JCSPHJ,就车式平衡机按（ ）原理工作。,"静平衡"
JCXLDQ,进厂修理的汽车，通过查阅汽车技术档案，听取驾驶员反映，确定汽车（ ）检视和路试内容。,"外部"
JDJBPY,决定基本喷油量的传感器是（ ）。,"进气压力传感器"
JFDJTL,将发动机凸轮轴支于V型架上，应用（ ）检测凸轮轴的弯曲程度。,"百分表"
JGCGS_,锯割槽钢时，应从（ ）面来锯。,"三"
JGSYLZ,锯弓是用来装夹锯条的，它有固定式和（ ）两种。,"可调式"
JGS_SJ,锯割时，手锯在前行中（ ）压力。,"应加"
JGYZCL,锯割硬质材料和薄壁材料时，选用（ ）齿锯条。,"细"
JHCXJD,进行挫削加丁时必须戴的防护用品是（ ）。,"防护镜"
JHCXJG,进行挫削加工时可以不戴的防护用品是（ ）。,"护膝"
JLFSY_,节流阀属于（ ）。,"流量阀"
JQCBZB,将汽车标准半轴安装在经修整过的轮毂上，然后在桥壳中部检视两半轴轴心未对正，则说明桥壳（ ）。,"弯曲变形"
JQKZXT,进气控制系统主要有进气谐振增压控制、配气定时控制、增压控制、（ ）。,"进气涡流控制"
JSKYSY,甲说可以使用尖嘴钳拧松螺栓。乙说使用尖嘴钳时不允许使用过大力矩，以防止钳口变形。甲、乙二人的说法中（ ）。,"乙对"
JSRHHD,金属熔化后的流动性和冷凝时的收缩性称为（ ）。,"可铸性"
JSZYLW,技师专业论文所反映的必须是技师所在的本职业（工种）范围内的各种技术或业务问题。就技师专业论文的表达方式而言，一般采用（ ）。,"抒情散文的表达方式"
JSZYLW,技师专业论文引言的撰写，力求突出重点，言简意骸，主要是将背景情况、论述思路等说清楚即可，（ ）。,"论文读者应该了解专业的有关背景，不明白的自己去查资料"
JSZYLW,技师专业论文，关键在于创新。这里强调的创新是指（ ）。,"必须是重大的发明创造"
JXGJSY,锯削钢件时应使用（ ）冷却。,"冷却液"
JXJJJD,假想将机件的倾斜部分旋转到与某一选定的基本投影面平行后，再向该投影面投影所得到的视图称为（ ）。,"旋转视图"
JXWCH_,铰削完成后，应按（ ）旋出铰刀。,"顺时针方向"
JYDNDS,机油的粘度随温度变化而变化的性能称（ ）。,"粘温特性"
JYMYYL,机油没有压力时，机油压力开关在弹簧力的作用下（ ），报警灯亮。,"接通触点，导通开关"
JYPHZ_,机油牌号中，其数字后面带的“W”字母表示（ ）,"低温系列"
JYPHZ_,机油牌号中，在数字后面带“W”字母的表示（ ）。,"低温系列"
JYPHZ_,机油牌号中，在数字后面带“W”字母的，（ ），数字代表黏度等级,"表示低温系列，W 表示冬用"
JZQNHS,减振器内活塞杆磨损后的圆度、圆柱度误差超过（ ）mm 时，应予以更换,"0.1"
KDSPCS,孔的上偏差是（ ）。,"ES"
KY_LTD,可用（ ）来替代45#钢制作发动机曲轴。,"QT600-3"
LCCLZL,两侧车轮阻力不同时，差速器行星齿轮（ ）。,"公转同时还自转"
LCQDH_,冷车启动后，冷却液通过（ ）以加快升温。,"小循环"
LHDJWQ,良好的节温器阀门全开时，要求阀门的升起高度应不小于（ ）mm,"9"
LHJKFW,铝合金可分为（ ）和铸造铝合金两类。,"形变铝合金"
LHQDGY,离合器的功用不包括（ ）,"承担整车的大部分载重"
LHQDGY,离合器的功用是传递转矩，保证平稳起步，（ ），防止传动系过载。,"降速增扭"
LHQTBZ,离合器踏板自由行程是踏板在完全放松时所测的高度和分离轴承端面与分离杠杆内端面刚刚接触时所测的高度的（ ）,"差值"
LJCHHZ,零件淬火后再进行高温回火处理的方法称为（ ）处理。,"调质"
LJDFST,零件的俯视图反映了零件的（ ）。,"长度和宽度"
LJDZST,零件的主视图反映了零件的（ ）。,"长度和高度"
LJPLSC,零件疲劳是长时间工作在（ ）条件下产生的。,"交变载荷"
LQXCLN,冷却系除了能满足发动机在最大热负荷情况下的冷却外，还能（ ）。,"参与发动机功能转换"
LQYSY_,冷却液是由（ ）、防冻剂、添加剂三部分组成,"水"
LTHWDF,轮胎换位的方法常用的有（ ）法和“交叉换位”法,"“循环换位”"
LTSDDJ,轮胎速度等级字母代号H表示不能超过（ ）km/h。,"180"
LTYDDQ,轮胎应当定期做动平衡检查，用（ ）检查,"动平衡检测仪"
LWXLYS,螺纹相邻牙上对应点的轴向距离称为（ ）。,"螺距"
LYQFCC,利用千分尺测量读数时，如果微分筒锥面边缘的前面露出主尺纵线下边的刻线，则小数部分（ ）0.5m。,"大于"
LYS_JS,炼油时，将石油加热到（ ）℃。,"350"
LZ_JCD,凌志 LS 400 轿车的 2 号高度控制阀用于控制（ ）。,"后悬架左右空气弹簧的充气和排气"
MGCYAQ,美国车用安全气囊容积一般为（ ）L。,"60"
MQQCDK,目前汽车电控系统中广泛应用的进气歧管压力传感器是（ ）,"电容式"
MWHXDC,免维护蓄电池，也称MF蓄电池，在使用过程中不需（ ）。,"维护"
MYMBFZ,每研磨半分钟左右，应把工件转动（ ），再继续研磨，以免发生倾斜现象。,"90°"
MYNTDL,没有内胎的轮胎称为（ ）轮胎。,"无内胎"
NJBFBZ,内径百分表在汽车修理中主要用来测量发动机气缸的（ ）。,"圆度和圆柱度"
NLDCDT,钠硫电池的特点之一是（ ）。,"工作温度低"
NSXDJG,暖水箱的结构形式一般有管翅式，（ ）。,"管带式"
PFYYZD,排放液压制动管路内的空气方法是：排气时应一边排除空气，一边检查和补充制动液，以免空气重新进入制动管路，直到管内（ ）为止，将储液罐的制动液补充到规定位置,"没有气泡排出"
PLSZJS,疲劳是指金属零件长期在（ ）作用下工作，突然发生断裂的现象。,"交变载荷"
PMCXZC,平面锉削最常采用的锉削方法是（ ）,"顺锉法"
PQJGDZ,配气机构的作用是按照（ ）和每一缸工作循环的要求，定时地将各缸进气门与排气门打开、关闭，以便发动机进行换气过程。,"曲轴转角"
PQQGDW,排气歧管的温度可达（ ）摄氏度。,"几百"
PTHTY_,普通黄铜有（ ）。,"H68"
PTHTZ_,普通黄铜中，含锌量为30%～32%时，（ ）最好。,"塑性"
PTKQSD,旁通空气式怠速控制是通过调节（ ）来控制空气流量的。,"旁通气道的空气通路面积"
PTTSJG,普通碳素结构钢规定牌号有Ql95、Q215、Q235和（ ）4种。,"Q275"
PYQJCD,喷油器就车断油检查方法是：拔下某缸喷油器线束插头，发动机转速应立即下降，这表明该喷油器（ ）,"工作正常"
PZW_DS,排最为1680mL的四缸发动机，其燃烧室容积为60mL，则压缩比等于（ ）。,"8"
QBLGJG,曲柄连杆机构的（ ）由活塞、活塞环、活塞销、连杆等机件组成,"活塞连杆组"
QBLGJG,曲柄连杆机构由（ ）三大部分组成。,"机体、活塞连杆、曲轴飞轮"
QBLGJG,曲柄连杆机构由机体组、活塞连杆组、（ ）三部分组成,"曲轴飞轮组"
QBLGJG,曲柄连杆机构在作功行程承受燃烧气体产生的膨胀压力，通过连杆使活塞的（ ）变为曲轴的旋转运动，向外输出动力,"直线运动"
QC_YDY,汽车（ ）由低压电路和高压电路组成。,"起动系"
QCCYRH,汽车常用润滑脂的品种有钙基润滑脂、（ ）、锂基润滑脂、极压复合锂基润滑脂和石墨钙基润滑脂等,"钠基润滑脂"
QCCYWL,汽车采用网络技术的根本目的一是（ ），二是实现快速通信。,"线束"
QCDPSX,汽车的平顺性是指在汽车行驶的过程中，乘员所处的（ ）具有一定的舒适度的性能。,"振动环境"
QCDPZJ,汽车底盘在加注润滑脂时，应使用油脂加注器对准油嘴（ ）加入润滑脂，直至所加注部位挤出新润滑脂,"逐个"
QCDSQL,汽车的输气连接橡胶管可承受（ ）kPA的工作压力。,"784"
QCDXJG,汽车大修竣工后进行道路验收时，应在干燥路面上进行，车速不超过（ ）km/ h。,"25"
QCDXJG,汽车大修竣工后，发动机起动时间应小于（ ）s。,"5"
QCDXJG,汽车大修竣工后，空载行驶初速度为30km/h时，滑行距离应不少于（ ）m。,"220"
QCDXJG,汽车大修竣工外观检视不包括（ ）。,"转向性能"
QCFDJD,汽车发电机的（ ）是用来产生三相交流电的。,"定子总成"
QCFDJG,汽车发电机过载时，（ ）协助发电机向用电设备供电。,"蓄电池"
QCFDJR,汽车发动机润滑油工作情况检查装置有（ ）、机油温度表、机油标尺和油压过低警告灯等,"机油压力表"
QCHQKL,汽车后桥壳裂纹的检查方法一般用（ ）。,"敲击法"
QCHSXY,汽车行驶系由车架、车桥、（ ）和悬架等组成,"车轮"
QCHSYY,汽车行使有异响，而空档滑行时异响减轻或消失，说明（ ）。,"半轴齿轮花键与半轴花键配合松旷"
QCLBDH,汽车类别代号6表示（ ）。,"客车"
QCLTD_,汽车轮胎的（ ）、速度等级及负荷等级均标记在胎侧。,"尺寸规格"
QCSSDB,汽车上手动变速器的（ ）两端油堵密封不良，会出现漏油故障。,"变速叉轴"
QCTYCZ,汽车同一车轴上应装用同一生产厂商，同一规格、结构、（ ）和磨损程度一致的轮胎。,"直径、高宽比"
QCWHSZ,汽车维护是指为维持汽车完好技术状况或（ ）而进行的作业，应贯彻“预防为主、强制维护”的原则,"工作能力"
QCYJWH,汽车一级维护工艺过程是进厂、（ ）、竣工检验、出厂等,"作业"
QCYYDL,汽车液压动力转向系统的原始动力来自（ ）,"发动机"
QCY_EJ,汽车一、二级维护作业是依据（ ）的有关规定。,"汽车维修企业"
QCZCGZ,汽车轴承滚子（ ）是由于表面疲劳磨损造成的。,"麻点"
QCZDXZ,汽车制动系中真空助力器的助力源是大气与（ ）。,"压缩空气"
QCZLLJ,汽车轴类零件发生疲劳，严重时会使零件（ ）。,"断裂"
QCZSCS,汽车装上差速器后，转弯时可以使内侧车轮转速降低，外侧车轮转速（ ）。,"增高"
QCZSPS,汽车在上坡时，如果出现汽车动力不足则说明离合器（ ）,"打滑"
QCZXHS,汽车直线行驶时，（ ）有异响是轮毂异响的故障现象之一。,"车轮"
QCZXQY,汽车转向器一级维护的内容主要有检查转向器、转向传动机构的工作状况和密封性，并（ ）,"校紧各螺栓"
QCZXXJ,汽车转向系将驾驶员作用于转向盘上的力矩（ ）传给转向轮。,"间接"
QDFDJS,启动发动机时，接通点火开关至起动档，起动机不转，应检查起动机电磁开关保持线圈是否（ ），若有应予以更换。,"断路"
QDFDJX,确定发动机修理尺寸时，除根据测量的圆柱度、圆度进行计算外，还应考虑（ ）对修理尺寸的影响。,"弯曲"
QDGJRY,气动工具容易出现问题的是（ ）。,"以上选项都正确"
QDJGZS,起动机工作时，吸引线圈和保持线圈通电，小齿轮与飞轮齿环啃合，（ ），起动机转动。,"吸引线圈断电"
QDSZJS,强度是指金属材料在外力作用下抵抗（ ）的能力。,"变形和破坏"
QFCSYZ,千分尺是一种精密量具，其测量精度可达（ ）mm。,"0.01"
QFCZWF,千分尺在微分筒的圆锥面上刻有（ ）条等分的刻线。,"50"
QJDSPQ,千斤顶适配器用于（ ）。,"带有偏置差动齿轮的4WD车辆"
QLCYDL,前轮采用独立悬架的汽车，转向梯形机构中的横拉杆应是（ ）的。,"断开式"
QLDWBK,前轮定位包括（ ）。,"主销内倾"
QLQSSZ,前轮前束是指两前轮在中心平面内前端的距离比后端的距离小一些，这两个距离的（ ）叫做前轮前束,"差值"
