_DCYJD,（     ）对柴油机点火提前角有影响。,"压缩比","曲轴转速"
CXFDJD,拆卸发动机的注意事项（  ）。,"发动机拆装必须在完全冷却的状态下进行，否则会引起某些机件的变形。","不论采用人工或吊车拆卸发动机，不要单独一人操作，要在助手协助下进行。","在用人工抬或用吊车拆卸发动机是，一定要挂钩在发动机吊重装置上"
CXFDJD,拆卸发动机的注意事项(     )。,"发动机拆装必须在完全冷却的状态下进行，否则会引起某些机件的变形。","不论采用人工或吊车拆卸发动机，不要单独一人操作，要在助手协助下进行。","在用人工抬或用吊车拆卸发动机是，一定要挂钩在发动机吊重装置上"
CYJDKX,柴油机电控系统燃油喷射控制主要包括（     ）。,"喷油量控制","喷油正时控制","喷油速率控制","喷油压力控制"
CYJDKX,柴油机电控系统一般对（     ）采用闭环控制。,"喷油量","喷油正时"
CYJPYB,柴油机喷油泵的试验和调整主要三个项目内容是（     ）。,"供油时间","供油量","调速器"
CYJRLG,柴油机燃料供给系由（     ）等组成。,"燃油箱","喷油泵","滤清器"
CYMFXD,采用麦弗逊独立悬架的车辆，当减震器发生弯曲变形，会导致（  ） 。,"转向后不能自动回正","车辆行驶跑偏","车辆制动跑偏","轮胎磨损"
CZFDQB,操纵分动器必须满足（  ）等条件。,"未先接上前驱动桥，不得挂入低档","未先退出低档，不得摘下前驱动桥","对无轴间差速器的汽车，使用高速档时不允许接前驱动桥"
DCMCSQ,电磁脉冲式曲轴位置传感器检测方法正确的是（     ）。,"交流电压档","电阻档"
DCSPYQ,电磁式喷油器按运动配合的偶件不同可以分为（     ）。,"轴针式","球阀式","片阀式"
DFS_QK,当发生（     ）情况时，发动机的失效保护功能开始起作用。,"冷却液温度传感器电路断路","节气门位置传感器电路断路","进气温度传感器电路断路","油泵内部电路断路"
DGDLDH,单缸独立点火的点火线圈检测方法正确的是（     ）。,"检测初级线圈电阻","检测次级线圈最大导通电流"
DHMKY_,点火模块由（     ）组成。,"电接头","晶体管电路","壳体"
DHXFW_,点火系分为（  ）。,"传统点火系","电子点火系","微机点火系"
DHXFW_,点火系分为(     )。,"传统点火系","电子点火系","微机点火系"
DHYGZK,当怀疑故障可能是由用电负荷过大引起时，不可采用（     ）法来进行诊断。,"振动","加热","水淋"
DJSWXJ,等角速万向节的常见类型有（  ）。,"球叉式","球笼式","三叉式"
DJSWXJ,等角速万向节的常见类型有(     )。,"球叉式","球笼式","三叉式"
DKFDJD,电控发动机断油控制包括（     ）。,"发动机超速断油","发动机减速断油","汽车超速行驶断油"
DKYLZD,电控液力自动变速器的信号输入装置有（     ）。," 传感器","开关","电磁阀","节气门阀"
DLDJBZ,电路的基本组成部分是（     ）。,"电源","负载","连接导线"
DPSSLH,多片湿式离合器的安全阀可安装在（     ）上。,"钢片","离合器鼓"
DPSSLH,多片湿式离合器由（     ）组成。," 摩擦片","活塞","离合器鼓"
DPY_ZC,底盘由（  ）组成。,"传动系","行驶系","转向系","制动系"
DSGG_J,怠速过高，检测方法正确的是（     ）。,"检测是否真空漏气","检测怠速控制装置"
DSWXJD,等速万向节的拆卸步骤（  ）。,"用钳子将万向节金属环打开","拆下防尘套","用木锤从传动轴上敲下万向节外圈","卸下内万向节防尘套","卸下弹簧锁环，拆下内万向节"
DSWXJD,等速万向节的拆卸步骤(     )。,"用钳子将万向节金属环打开","拆下防尘套","用木锤从传动轴上敲下万向节外圈","卸下内万向节防尘套","卸下弹簧锁环，拆下内万向节"
DYCGQD,带氧传感器的发动机控制系统在（     ）情况下进行开环控制。,"发动机起动时","发动机暖车过程中","节气门全开时"
DZDHXT,电子点火系统主要由（     ）组成。,"传感器","ECU","点火模块","火花塞"
DZDHXZ,电子点火系主要由（  ）、分电气、火花塞、点火器及点火信号发生器等部件组成,"电源","点火线圈","点火开关"
DZDHXZ,电子点火系主要由(     )、分电气、火花塞、点火器及点火信号发生器等部件组成,"电源","点火线圈","点火开关"
DZFDJW,导致发动机温升缓慢的原因有（  ） 。,"未装节温器","温控开关失效，导致风扇常转"
DZKTXT,导致空调系统制冷量不足的原因为（     ）。,"制冷剂不足","冷凝器风机不转","压缩机电磁离合器打滑","热空气进入车内"
FBSZDX,防抱死制动系统按结构可分为（     ）等,"整体式","分置式"
FDJDFJ,发动机的分解主要步骤（  ）。,"拆卸气缸盖","拆卸配气机构","拆卸曲柄连杆机构","拆卸活塞连杆组"
FDJDYX,发动机的异响主要有（     ）的机械故障所造成的异响。,"曲柄连杆机构","配气机构"
FDJDZY,发动机的主要性能指标有（     ）。,"有效扭矩","有效功率","有效燃油消耗率"
FDJJSJ,发动机计算机将发动机（     ）信号作为主控信号，确定基本喷油量。,"转速","负荷"
FDJQZW,发动机曲轴位置及转速传感器主要类型有（     ）。,"霍尔效应式","光电式","电磁脉冲式"
FDJSWG,发动机水温过低会造成（     ）。,"动力下降","油耗增加","不宜启动","加剧磨损"
FDJTRG,发动机突然过热，其原因主要有（     ）。,"工作不稳定","有断火现象","有过热现象"
FDLXJY,非独立悬架用转向传动机构的各杆件之间都采用球形铰链连接，并设有（     ）结构措施。,"缓冲吸振","自动消除磨损后间隙"
FS_GZS,发生（     ）故障时，后备功能不起作用。,"曲轴位置传感器停止输出G和Ne信号","怠速控制（ISC)阀的内部电路断开","点火器的IGF信号不能反馈到发动机ECU"
FSCDDD,风扇传动带的挠度过大，会造成（     ）。,"传动带打滑","发动机冷却系工作不良"
GFZCLZ,高分子材料主要有（     ）。,"塑料","合成纤维","胶粘剂","涂料"
GYDLCS,感应电流产生的条件有（     ）。,"电路是闭合且通的","穿过闭合电路的磁通量发生变化","电路的一部分在磁场中做切割磁感线运动"
GZDBSQ,给自动变速器作失速试验，可检验（     ）。,"液力变矩器单向离合器的性能","齿轮变速器中摩擦片的工作","发动机的输出功率"
GZSZSY,故障树中使用的符号，不属于逻辑门符号的是（     ）。,"矩形符号","圆形符号","菱形符号"
GZYTCQ,钢制圆头锤其规格以锤头的质量大小规定的，常用的有0.25kg、（  ）、（  ）、（  ）、（  ）、1.5kg六种。,"0.5kg","0.75kg","1kg","1.25kg"
GZZZDX,故障自诊断系统的功用是（     ）。,"故障警告","故障码储存","安全保障","故障运行"
HSLGZD,活塞连杆组的拆卸步骤正确的是（  ）。,"拆卸活塞销卡簧","卸下活塞销，取出连杆","用专用工具取下第一道气环、第二道气环和油环"
HSLGZD,活塞连杆组的拆卸步骤正确的是(     )。,"拆卸活塞销卡簧","卸下活塞销，取出连杆","用专用工具取下第一道气环、第二道气环和油环"
HSLGZZ,活塞连杆组主要包括（  ）、（  ）、（  ）、和（  ）等机件。,"活塞","活塞环","活塞销","连杆"
HSLGZZ,活塞连杆组主要包括(     )、(     )、(     )、和(     )等机件。,"活塞","活塞环","活塞销","连杆"
JCJTGD,检查晶体管点火系统高压回路部件（     ）电阻时，各电阻值应均为1±0.4kΩ。,"分火头","火花塞插头"
JCSTNZ,检查桑塔纳转向油泵压力：发动机怠速运转时，急速关闭截止阀（不超过5s），额定压力应为637～784kP。压力不符合要求时，应检查（     ）程度，并更换相应损坏机件。,"泵体内壁的磨损","流量限制阀"
JQWDCG,进气温度传感器由（     ）组成。,"壳体","热敏电阻","电接头"
JTZBK_,机体组包括（  ）、（  ）、（  ）、气缸垫和油底壳。,"气缸体","气缸盖","曲轴箱"
JTZBK_,机体组包括(     )、(     )、(     )、气缸垫和油底壳。,"气缸体","气缸盖","曲轴箱"
JXXGZZ,间歇性故障诊断测试验中可使用下列哪些方法（     ）。,"振动法","加热法","水淋法"
KQGGXT,空气供给系统主要由（  ）、（  ）、（  ）、（  ）、怠速控制阀和空气阀组成。,"空气滤清器","空气流量计","节气门体","进排气管"
KQGGXT,空气供给系统主要由(     )、(     )、(     )、(     )、怠速控制阀和空气阀组成。,"空气滤清器","空气流量计","节气门体","进排气管"
KQLQQD,空气滤清器的主要作用是清除流向发动机的空气中所含的尘土和砂粒，以减少（  ）的磨损。,"气缸","活塞","活塞环"
KQLQQD,空气滤清器的主要作用是清除流向发动机的空气中所含的尘土和砂粒，以减少(     )的磨损。,"气缸","活塞","活塞环"
KTXTGZ,空调系统故障包括（     ）。,"暖风系统","制冷系统","通风系统"
LGYHS_,连杆与活塞、活塞销组装后应检验：（     ）。,"活塞连杆组的质量","活塞裙部椭圆的变化情况","活塞裙部轴线对连杆大端孔轴线的垂直度"
LHQDAZ,离合器的安装步骤（  ）。,"将导向轴承加注润滑脂后装入飞轮中心轴承孔中","安装从动盘。将导向轴插入飞轮中心轴承孔内，套装从动盘，注意从动盘方向。","安装离合器总成。按拆卸时所做标记，将离合器总成安装在飞轮上。"
LHQDAZ,离合器的安装步骤(     )。,"将导向轴承加注润滑脂后装入飞轮中心轴承孔中","安装从动盘。将导向轴插入飞轮中心轴承孔内，套装从动盘，注意从动盘方向。","安装离合器总成。按拆卸时所做标记，将离合器总成安装在飞轮上。"
LHQDGY,离合器的功用是（     ）。,"保证平稳起步","传递转","便于换挡"
LHQDZD,离合器的主动部分包括（  ）。,"飞轮","离合器盖","压盘"
LHQDZD,离合器的主动部分包括(     )。,"飞轮","离合器盖","压盘"
LHQZCR,离合器中充入液压油时，离合器（     ）。,"安全阀关闭","安全阀打开"
LHQZYY,离合器主要由（  ）和操纵机构等部分组成。,"主动部分","从动部分","压紧机构"
LHQZYY,离合器主要由(     )和操纵机构等部分组成。,"主动部分","从动部分","压紧机构"
PCZLJG,排除制冷剂过多故障时应做到（     ）。,"正确连接空调回收仪","排除多余制冷剂"
PCZLJG,排除制冷剂过少故障时应做到（     ）。,"检测各连接部件密封","检测管路是否泄漏","抽真空","加液"
PDQCDX,评定汽车大修检验的基本技术文件内容包括（  ）,"大修进厂检验单","大修工艺过程检验单","大修竣工检验单","大修合格证"
PDQCDX,评定汽车大修检验的基本技术文件内容包括(     ),"大修进厂检验单","大修工艺过程检验单","大修竣工检验单","大修合格证"
PQJHKZ,排气进化控制系统包括（     ）等。,"氧传感器的反馈控制","活性炭罐清洗控制","二次空气喷射控制","废气再循环"
PTSTNJ,普通桑塔纳轿车通过二级维护前的排放检测可以分析（     ）。,"进气预热装置是否正常","化油器是否需要清洗","活塞、气门、气缸等是否需要检修"
PYBDZY,喷油泵的主要调整内容是（     ）。,"供油时间","供油量"
PYQDSY,喷油器的试验与调整内容有（     ）的检查。,"喷油器密封性的检查、喷油压力的试验与调整","喷雾质量的检查"
PYQJCF,喷油器检测方法正确的是（     ）。,"直流电压档","电阻档"
PZFDDG,膨胀阀堵的故障，表现为（     ）。,"进口小滤网部位发生结霜现象","气流声断断续续","用小扳手轻敲膨胀阀体，气流声变化，且白霜渐渐融化"
PZFDS_,膨胀阀堵塞，应（     ）。,"放出制冷剂","拆卸元件进行清洁或更换","抽真空","充注制冷剂"
QBLGJG,曲柄连杆机构由（  ）、活塞连杆组、（  ）三部分组成。,"机体组","曲轴飞轮组"
QCCJAQ,汽车车架按其结构分为（  ）。,"边梁式","中梁式","综合式"
QCCJAQ,汽车车架按其结构分为(     )。,"边梁式","中梁式","综合式"
QCCYYR,汽车采用余热供暖，可分为（     ）。,"废气水暖式","水暖式"
QCDPY_,汽车底盘由（  ）组成。,"传动系","行驶系","转向系","制动系"
QCDPY_,汽车底盘由(     )组成。,"传动系","行驶系","转向系","制动系"
QCEJWH,汽车二级维护生产的特点是（     ）。,"就车维护","总成互换"
QCFDJD,汽车发动机的两大机构是（  ）和（  ）。,"配气机构","曲柄连杆机构"
QCHSXY,汽车行驶系一般由车架和（  ）等组成。,"车桥","车轮","悬架"
QCHSXY,汽车行驶系一般由车架和(     )等组成。,"车桥","车轮","悬架"
QCJSDJ,汽车技术等级的主要评定内容为（     ）。,"汽车站的动力性、燃料经济性","制动性、转向操纵性","前照灯及喇叭噪声、废气排放","汽车站防雨密封性、整车与外观"
QCWHCY,汽车维护常用的旋具有十字旋具和一字旋具，其中一字旋具常用规格是（  ）。,"50mm","75mm","125mm","150mm"
QCWXCY,汽车维修常用工具包括（  ）、（  ）、扳手、（  ）和钳子。,"旋具","锤子","顶拔器"
QCWXZC,汽车维修中常用量具有塞尺、（  ）、（  ）、百分表、内径百分表、（  ）、轮胎气压表、测试灯、（  ）。,"游标卡尺","千分尺","气缸压力表","万用表"
QCWXZC,汽车维修中常用设备有（  ）、（  ）、（  ）和台虎钳,"千斤顶","电动举升器","小型空气压缩机"
QCYFDJ,汽车由发动机和（  ）、（  ）、（  ）四大部分组成。,"底盘","电气设备","车身"
QCZDAQ,汽车主动安全系统包括: （  ） 。,"防抱死制动系统（ABS）","驱动防滑转控制系统（ASR）","电子车身稳定装置（ESP）"
QDJDGZ,起动机的工作顺序是（     ）。,"首先接触盘结合","首先吸引线圈和保持线圈通电","其次小齿轮和飞轮结合"
QDJDXL,起动机单向离合器维修质量检验：（     ），否则应予更换新件。,"当顺时针转动时，齿轮应被锁止","当逆时针方向转动齿轮时，应灵活自如"
QDJY_S,起动机由（  ）三部分组成。,"串励式直流电动机","传动机构","操纵机构"
QDJY_S,起动机由(     )三部分组成。,"串励式直流电动机","传动机构","操纵机构"
QDQDGY,驱动桥的功用是（  ）。,"将万向传动装置传来的动力经降速增扭","改变动力传递方向","分配到左右驱动轮，使汽车行驶","允许左右驱动轮以不同的转速旋转"
QDQDGY,驱动桥的功用是(     )。,"将万向传动装置传来的动力经降速增扭","改变动力传递方向","分配到左右驱动轮，使汽车行驶","允许左右驱动轮以不同的转速旋转"
QDQY_D,驱动桥由（  ）等组成。,"主减速器","差速器","半轴","桥壳"
QDQY_D,驱动桥由(     )等组成。,"主减速器","差速器","半轴","桥壳"
QGDDGY,气缸垫的功用是保证气缸盖和气缸体接触面的密封，防止（  ）。,"漏气","漏水","漏油"
QGDDGY,气缸垫的功用是保证气缸盖和气缸体接触面的密封，防止(     )。,"漏气","漏水","漏油"
QGGDCX,气缸盖的拆卸分为四步（  ）。,"拆下发动机附件及气缸盖罩，若气缸盖罩被胶粘住，可用专用工具撬动","根据发动机气缸盖螺栓的数量确定拧螺栓的顺序","按规定的顺序将缸盖螺栓分成2-3次拧松，然后拆下","如气缸盖及气缸体平面附着密封垫材料，可用刮刀刮净，并用软刷子与溶剂清洗，再用压缩空气吹干"
QGGDCX,气缸盖的拆卸分为四步(     )。,"拆下发动机附件及气缸盖罩，若气缸盖罩被胶粘住，可用专用工具撬动","根据发动机气缸盖螺栓的数量确定拧螺栓的顺序","按规定的顺序将缸盖螺栓分成2-3次拧松，然后拆下","如气缸盖及气缸体平面附着密封垫材料，可用刮刀刮净，并用软刷子与溶剂清洗，再用压缩空气吹干"
QGMSDZ,气缸磨损的主要原因有（     ）。,"机械磨损","磨料磨损"
QMDJY_,气门的检验。一般可用观察的方法检查，其工作面（     ）时，就应进行修磨。,"烧蚀","过宽","凹陷"
QTDQSB,其他电气设备检验：装备有其他与制动、行车安全有关的电子控制系统的元器件，应按原设计（     ）、电子控制装置（ECU）应无故障码显示。,"装备齐全","监控有效","正常"
QYFDJD,汽油发动机的五大系统有：（  ）、润滑系统、（  ）、（  ）、起动系统。,"燃油系统","冷却系统","点火系统"
QYFDJR,汽油发动机燃料供给系分为（  ）和（  ）。,"化油器式燃料供给系","电子喷射式燃料供给系"
QYFDJR,汽油发动机燃料供给系分为(     )和(     )。,"化油器式燃料供给系","电子喷射式燃料供给系"
RHDFSY,润滑的方式有（  ）。,"压力润滑","定期润滑","飞溅润滑"
RHDFSY,润滑的方式有(     )。,"压力润滑","定期润滑","飞溅润滑"
RHXDZY,润滑系的作用有（  ）。,"润滑","清洗","冷却","密封","防锈蚀"
RHXDZY,润滑系的作用有(     )。,"润滑","清洗","冷却","密封","防锈蚀"
RHXYJY,润滑系应具有（     ）等作用。,"散热","润滑","清洗","密封"
RMCCYD,软面锤常用的有（  ）。,"塑料","皮革","木质","黄铜"
RMSKQL,热膜式空气流量传感器相对于热线式空气流量传感器的优点是（     ）。,"提高了可靠性","提高了耐用性"
RYGGXT,燃油供给系统主要由油压调节器和（  ）组成。,"电动汽油泵","汽油滤清器","喷油器","输油总管"
RYGGXT,燃油供给系统主要由油压调节器和(     )组成。,"电动汽油泵","汽油滤清器","喷油器","输油总管"
SDBSQZ,手动变速器装配的正确选项为（  ） 等。,"所有零件应彻底清洗干净，并用压缩空气吹干","各部位轴承及键槽在安装前，应涂以齿轮油或机油","安装滚针、滚珠等小零件时，可使用凡士林粘住","安装箱体上的螺栓时（除盲孔） ，应在螺栓上涂上合适的密封胶"
SDBSQZ,手动变速器装配的正确选项为(     )等。,"所有零件应彻底清洗干净，并用压缩空气吹干","各部位轴承及键槽在安装前，应涂以齿轮油或机油","安装滚针、滚珠等小零件时，可使用凡士林粘住","安装箱体上的螺栓时（除盲孔），应在螺栓上涂上合适的密封胶"
SLDWDJ,四轮定位的检测项目包括（     ）,"转向轮前束值","后轮前束值","转向轮外倾角","主销后倾角"
SLDWDJ,四轮定位的检测项目包括（     ）。,"转向轮前束值","后轮前束值","转向轮外倾角","主销后倾角"
SLDWDQ,四轮定位的前、后轮定位参数包括（     ）,"转向轮前束值","后轮前束值","转向轮外倾角","主销后倾角"
SLFDJD,水冷发动机的冷却系通常由（  ）组成。,"散热器","水泵","风扇","储水箱"
SLFDJD,水冷发动机的冷却系通常由(     )组成。,"散热器","水泵","风扇","储水箱"
SSSYSZ,失速试验是自动变速器的一项重要试验，其规范要求有（     ）。,"加速踏板要踩到底","正常状况下，发动机转速应保持在2200~2400r/min"
STNJXF,桑塔纳JR型发动机的水泵叶轮为工程塑料压注的闭式叶轮，（     ）。,"质量轻","成本低","效率高"
STNJXF,桑塔纳JR型发动机冷却风扇叶片为9片，而且外缘设计一个圆环，将9片叶片连在一起，提高了风扇的（     ）。,"刚度","效率"
STNBSQ,桑塔纳变速器同步器滑块磨损严重、（     ）使结合套与花键毂键齿的配合间隙超过0.50mm等，应更换新件。,"滑块弹簧弹力减弱或折断","键齿磨损"
SYLNQJ,属于冷凝器检修项目的是（     ）。,"散热片的检查","是否漏气","是否赃物堵塞接头","管道有无损伤"
TDYSHY,团队意识含义包括：（  ）等方面。,"集体意识","合作能力"
TGDCFY,碳罐电磁阀由（     ）组成。,"电磁线圈","回位弹簧","壳体"
TGZHXN,提高着火性能的方法是（     ）。,"扩大火花塞间隙","缩小中心电极","增加中心电极伸出量"
THQSYZ,台虎钳使用注意事项正确的有（  ）。,"强力作业时，应尽量使力朝向固定钳身，否则丝杆和螺母会因受力过重而损坏","不要在活动钳身的光滑面上进行敲击作业","台虎钳的丝杆、螺母及其他活动表面都要经常加润滑油，并保持清洁"
TLZTLG,凸轮轴凸轮工作表面出现（     ）应修复或更换。,"击伤","麻点","毛糙"
TSQDZY,调速器的主要试验和调整项目是（     ）起作用的转速。,"加速","高速","低速"
TYCXBJ,通用车系步进电机式怠速阀检测方法正确的是 （     ）。,"TECH2读取步数","电阻档"
WLBZHS,为了保证活塞环的正常工作状况，对新活塞环应检验其弹力、（     ）和背隙，必须符合技术标准，才能装配使用。,"漏光度","端间隙","侧隙"
XLGYZD,下列关于自动变速器中离合器摩擦片的说法正确的是（     ）。,"安装新摩擦片前，必须在ATF中将摩擦片浸泡15min以上","一旦发现有摩擦片上的印记数字或标志被磨去，必须更换所有的摩擦片"
XLMSZ_,下列描述中，正确的制动开关检测方法是（     ）。,"查看数据流，看制动开关的状态是否改变"," 用万用表测制动开关动作信号"
XLNXQK,下列哪些情况怠速会升高（     ）。,"水温低","开空调冷风"
XLQCXL,下列汽车修理工时定额方法中（     ）方法准确性较低。,"经验估计法","比较类推法","典型推算法"
XLSYCL,下列属于车辆主要技术经济定额和指标的是（     ）。,"完好率","车辆新度系数","小修频率","轮胎翻新率"
XLSYDZ,下列属于大众车系专用诊断仪的是（     ）。,"V.A.Gl551","V.A.Gl552"
XLSYQC,下列属于汽车修理工时定额的原则的是（     ）。,"现实性","合理性","发展性"
XLSYQC,下列属于汽车修理工时计算的原则的是（     ）。,"现实性","合理性","发展性"
XLSYQC,下列属于汽车中级修理工教学设备的是（     ）。,"烟度计","气缸压力表"
XLSYYQ,下列属于仪器设备诊断法的是（     ）。,"用试灯检查电路是否断路","用尾气分析仪检测尾气"
XLSYYS,下列属于运输单位车辆技术管理的主要职责的是（     ）。,"正确使用车辆更新改造资金和大修基金","推广现代化管理方法"
XLXXZ_,下列选项中，对蓄电池作用描述正确的有（     ）。,"起动时，向起动机和点火系供电","向用电设备供电","发电机超载时协助供电","可以把发电机的电能转化为化学能储存起来"
XLXXZ_,下列选项中，属于自动变速器油液的作用的是。,"使换挡执行元件运行","在液力变矩器的非锁止状态下作动力传输"
XMGYQZ,下面关于曲轴箱强制通风阀（PCV)  的说法，错误的是（     ）。,"窜缸混合气通过PCV阀进到排气歧管再燃烧","发动机停机时PCV阀是开启的","PCV阀是一种电磁阀（仅有全开或全闭两种状态）"
XMNXSQ,下面那些是汽车的传感器（     ）。,"空气流量计","水温传感器"
XMNXYY,下面哪些原因是产生爆燃的原因（     ）。,"汽缸内积碳过多","燃油使用不当","发动机过热"
XMYGDY,下面有关电压和电流讲述正确的是（     ）。,"在导体上施加电压就会有电流流过","电流的单位是安培","电压与电流成正比","电流的符号是I"
XTWZLJ,系统无制冷剂，应进行以下操作，（     ）。,"检查泄漏排除故障","抽真空","充注制冷剂","充注润滑油"
XTZWZL,系统中无制冷剂的表现为（     ）。,"低压侧压力异常低","高压侧压力异常低"
YGPZFM,有关膨胀阀描述正确的是（     ）。,"调整进入蒸发器的制冷剂流量","降低制冷剂温度"
YLBJQ_,液力变矩器（     ）。,"涡轮是从动元件","导轮与变速器输入轴相连"
YLBJQD,液力变矩器的作用是（     ）。,"  变速","变矩","传递转矩"
YLBJQN,液力变矩器内部油流的特点是（     ）。,"既有圆周运动，又有环形运动，形成首尾相接的油流","被泵轮加速的油流先冲击涡轮，再流向导轮并改变方向"
YQDCCD,引起电磁场的原因是（     ）。,"由强弱变化的电流引起","由变速运动的带电粒子引起"
YQDLBZ,引起动力不足故障的是（     ）。,"气缸压缩压力低","排气管堵","传感器信号错误","系统油压过低或过高"
YQKTXT,引起空调系统不出风故障的是（     ）。,"风机开关损坏","风机电刷损坏","连接线路断路","保险丝烧断"
YQPFCB,引起排放超标故障的是（     ）。,"喷油器喷油故障","传感器信号不准确","点火高压弱","三元催化装置失效"
YQYHGG,引起油耗过高故障的是（     ）。,"喷油器喷油故障","传感器信号不准确","点火高压弱","油压过高"
YQYSJB,引起压缩机不工作的故障是（     ）。,"电磁离合器打滑","压缩机皮带断裂","压缩机故障"
YQYSJD,引起压缩机电磁离合器不吸合故障的是（     ）。,"电磁线圈断路","温控开关断开","压力保护开关断开"
YSJFBZ,压缩机阀板组常见故障有（     ）。,"阀片、阀座处积碳","阀片或阀线损坏","高低压隔腔垫片损坏"
YWCGQJ,油温传感器检测方法正确的是（     ）。,"直流电压档","电阻档"
YWCGQY,油温传感器由（     ）组成。,"壳体","热敏电阻","电接头"
YXQCHS,影响汽车行驶平顺性的因素有（     ）。,"悬架结构","悬架阻尼","轮胎"
YXSQCG,以下属汽车故障特征的是（     ）。,"   运行异常","气味异常","外观异常","温度异常"
YXXTSY,以下系统属于共轨喷射系统的有（     ）。,"日本电装公司ECD-U2系统","美国BKM公司Servojet系统","美国CAterpillAr公司HEUI系统"
YYDLZX,液压动力转向系统渗入空气可能会引起（  ）故障。,"转向沉重","转向油泵产生噪声"
ZCKTBZ,造成空调不制冷故障的是（     ）。,"压缩机故障","制冷剂软管破裂","电磁离合器故障"
ZCKTXT,造成空调系统不制热的故障是（     ）。,"冷却液控制阀卡死","冷却液控制阀拉索断裂","热风管道堵塞"
ZCQCKT,造成汽车空调不制冷故障的是（     ）。,"制冷剂不足","膨胀阀堵塞或蒸发器片堵塞","冷凝器片堵塞或系统温度过高，制冷效果差","空调系统管路泄露"
ZCQLBD,造成前轮摆动故障的是（     ）。,"前轮定位不准","车轮不平衡","横拉杆球头磨损","车轮轮铜产生偏摆"
ZCZDJL,造成制动距离过长故障的是（     ）。,"制动液不足","制动盘磨损","制动踏板空行程过长"
ZDBSQT,自动变速器通过控制不同的（     ）工作，可获得不同的传动比。,"离合器","锁止离合器"
ZDBSQZ,自动变速器中的制动器有（     ）。,"片式"," 盘式"
ZDBSQZ,自动变速器主要由（     ）组成。,"液压控制系统","电子控制系统","齿轮变速机构"
ZDCDZZ,诊断传动轴振动和噪声故障，检查传动轴，若有（  ）则故障由此引起。,"传动轴弯曲或轴管凹陷","中间轴承支承架固定螺栓松动","平衡块脱落"
ZDCLJS,制定车辆技术经济定额常用的方法有（     ）。,"三面统筹法","比例法","系数法"
ZDHXCL,在单行星齿轮系机构处于增矩状态时（     ）。,"太阳轮输入、齿圈锁止、行星架输出","齿圈输入、太阳轮锁止、行星架输出"
ZDHXCX,在单行星齿系机构处于增矩状态时（     ）。,"太阳轮输入、齿圈锁止、行星架输出","齿圈输入、太阳轮锁止、行星架输出"
ZJCDHX,在检测点火线圈技术要求时，应保证点火线圈绝缘盖板（     ）。,"清洁","干燥","无漏电"
ZJFGDL,直接分缸独立点火系统有（     ）特点。,"减少了故障发生点","降低了电磁波干扰","节省电能消耗","点火能量最高"
ZLJGDB,制冷剂过多表现为（     ）。,"高压侧压力高","低压侧压力高"
ZLJGSB,制冷剂过少表现为（     ）。,"制冷剂有气泡，泡沫流过","高压侧压力低","低压侧压力低"
