LXGDSL,LQ型固定式螺旋千斤顶由（ ）组成。,"棘轮组","大小锥齿轮","升降套筒","锯齿形螺杆"
JDMSYQ,旧地锚使用前，必须掌握其（ ）。,"埋设情况","拉力大小","受力方向","埋设日期"
JLXDZY,静力学的主要任务是研究物体在力的作用下（ ）。,"处于平衡的规律","建立各种力系的平衡条件"
JSBYBY,脚手板一般由（ ）材料制成,"钢","木"
JSJCCB,脚手架拆除必须按拆除顺序（ ）进行。,"自上而下","一步一清"
JSJCJD,脚手架常见的形式有（ ）。,"单排架","三排架","四排架"
JSJKJD,脚手架扣件的类型有（ ）。,"直角扣件","回转扣件","对接扣件"
JSJTCY,脚手架通常由（ ）搭设而成。,"钢管","竹竿","杉篙"
JYZDLF,将已知的力分解为两个分力，除了必须已知待分解的力的大小和方向外，还要具备下面的条件：（ ）。,"已知分力中一个力的大小和方向","已知两分力的方向","已知两分力的大小"
JZAZSG,建筑安装施工现场是一个（ ）的生产场所。,"露天作业多","立体交叉作业多","作业面变化多","临时设施多"
KSBAZT,看设备安装图，图中标明了（ ）。,"安装的总体要求","各零部件的装配技术要求","尺寸要求","试运转要求"
LDFJCY,力的分解采用的方法有（ ）。,"平行四边形法","三角形法"
LDSYSY,力的三要素有（ ）。,"大小","方向","作用点"
LTSQZJ,轮胎式起重机按起重臂形式分为（ ）。,"桁架臂","箱形臂"
MSASYY,麻绳按使用原料可分为（ ）。,"印尼棕绳","白棕绳","混合麻绳","线麻绳"
MZWGTC,木制桅杆通常选用（ ）的圆木制成。,"笔直","结实","无伤疤"
NTGJSJ,能通过计算较易确定重心的物体有（ ）。,"长方形物体","三角形物体","长圆棒","球形物体"
PMBZTY,平面布置图一般包括（ ）。,"总平面布置图","分部分项布置图","设备安装平面布置图"
PMBZTZ,平面布置图主要表示工程的（ ）。,"坐标位置","总体布置情况","总体施工要求"
QDTJKY,强度条件可以解决强度方面的实际问题有（ ）。,"强度校核","选择截面尺寸","许用载荷的确定"
QJDAQG,千斤顶按其构造及工作原理通常分为（ ）。,"螺旋式","液压式","齿条式"
QZJDJS,起重机的技术性能包括（ ）。,"起重量","作用半径","起吊高度"
QZSBDG,起重设备的工作速度有（ ）。,"起升速度","变幅速度","回转速度","运行速度"
QZSYY_,撬只适用于（ ）的作业。,"重物质量较轻","移动距离较短"
QZZYDJ,起重作业的基本操作方法归纳起来主要有（ ）。,"滚","滑","顶"
QZZYGC,起重作业过程中必须牢固树立（ ）的指导思想。,"安全第一","预防为主"
SJDZLT,绳夹的种类通常有（ ）。,"骑马式","压板式","L型"
SJHSDJ,三角函数的基本公式有（ ）。,"正弦","余弦","正切","余切"
SYDDZQ,属于多动作起重机械的有（ ）。,"汽车起重机","塔式起重机"
SYZHKZ,属于自行可转杆式起重机的有（ ）。,"汽车起重机","轮胎起重机","履带起重机","铁路起重机"
WLHZXS,无论何种形式的绳结，都应满足（ ）。,"打结方便","解扣容易","对绳索损伤少"
XKDXTT,卸扣的卸体通常用（ ）钢锻制而成。,"Q235A","20号","25号"
XLDWSY,下列单位属于法定计量单位的有（ ）。,"米","分米","厘米"
XLGJ_H,下列构件（或部位），不得绑扎装卸绳索：（ ）。,"输电塔架","电线杆","不明吨位的原有地锚","树木"
XLSYQZ,下列属于起重机司机的职责有（ ）。,"不得带病工作","不违章操作"
XLSYQZ,下列属于起重作业人员“十不吊”要求的有（ ）。,"违章指挥不吊","捆绑不牢不吊","歪拉斜挂不吊"
XLSYZH,下列属于指挥人员的职责有（ ）。,"计算负载的质量","正确选择吊点位置","全程监视并随时引导"
YGJQDZ,要根据起吊重物的各项数据、合理、准确地选择桅杆，其（ ）必须满足被吊物体的要求。,"高度","起重量"
ZDDZFF,柱的吊装方法有（ ）。,"旋转法吊装","滑行法吊装","斜吊法吊装"
ZHSQZJ,自行式起重机具有（ ）等优点。,"机动性好","适应性强","准备工作时间短"
ZJSJSY,在脚手架使用期间，应定期检查下列项目（ ）。,"扣件螺栓","脚手板","安全网","地基"
ZJSJSY,在脚手架使用期间，严禁拆除主节点处的（ ）。,"纵、横向水平杆","纵、横向扫地杆","连墙件"
