CYZZLP,菜肴中主料品种的数量为两种以上为（ ），无辅料之别，每种主料的重量基本相同。如“三色鱼圆”'植物四宝“。,"多种原料菜肴的组配"
CZ_DCX,操作（ ）的程序是将原料初步热处理后，加入调料和花椒油拌匀的一种方法。,"生炝"
CZ_DCX,操作（ ）的程序是将直接可食的或经过加热的原料改刀后，加上调味品拌匀的一种方法。,"凉拌"
CZ_DCX,操作（ ）的程序是选料—初步处理—抹糖浆—晾干—炸制—装盘。,"脆炸"
CZCX_X,操作程序；选料—加工成小型料—上浆—滑油—快速加热—原料成熟是（ ）的烹调方法。,"滑炒"
CZLC_X,操作流程；选料—切配—腌渍—拌粉—蒸制—装盘。属于（ ）。如粉蒸肉。,"蒸—粉蒸"
DBD_GL,刀柄短，惯力大，一刀多能的（ ），适用于前片后剁，中间切，使用方便省力，具有良好的性能。,"大方刀"
DDDSYW,叠大多使用无骨韧性（ ）的原料居多。,"脆"
DDY_JG,大丁由（ ）加工而成，又称拇指丁，常用于熘、炒等。如鸡丁、肉丁等。,"粗条"
DFD_SJ,剁法的（ ）是将刀扬起，运用小臂的力量，迅速垂直向下截断原料，带骨和厚皮的原料常用此法。,"砧剁"
DFD_SY,剁法的（ ）是有规划、有节律地连续剁的方法，是制作肉茸、菜泥的专门刀法。,"排剁"
DFDDRQ,剁法的刀刃嵌进原料，左手掌猛击刀背 ，截断原料的（ ）刀法。,"拍刀剁"
DFDLX_,刀法的类型；平批，推批，拉批，锯批，波浪批，旋料批属于（ ）。,"平刀法"
DFDLX_,刀法的类型；切，剁，排属于（ ）。,"直刀法"
DFDLX_,刀法的类型；削，刮，铲，挖，刨，割，剜等属于（ ）。,"其它刀法"
DFDQSY,刀法的切属于（ ）的刀法。,"直刀法"
DFDQ_D,刀法的切、剁、排统称为（ ）刀法的类型。,"直刀法"
DFDRND,淀粉的热黏度低，透明度和凝胶能力都较差的（ ），在在烹饪中经加工可制成澄粉。,"小麦淀粉"
DFDRND,淀粉的热黏度高，稳定性和透明度均好的是（ ），适宜勾芡和制作粉皮。,"绿豆淀粉"
DFJGHH,淀粉经过糊化之后生成的主要物质（ ）。,"糊精"
DFJRHH,淀粉加热糊化之后生成的一种物质是（ ），它人体需要营养成分。,"胡精"
DFKLD_,淀粉颗粒大，吸水力强，糊化温度低，黏度高，透明度好的（ ）最适合作为上浆和挂糊的原料。,"马铃薯淀粉"
DF_DFG,豆腐，豆腐干，萝卜，土豆等原料成形适合切（ ），有等腰和任意两种的块形。,"三角块"
DGDZYS,刀工的作用是便于加热，使于调味美化菜品和便于（ ）。,"食用"
DJLYBX,豆荚类一般先撕去老筋，去掉两端的荚头，放入（ ）中浸泡后再用水洗净。,"盐水"
DSLD_D,刀身略短，刀尖突出，刀板较轻薄，重约700gd的（ ）适于切，削，剔等。,"马头刀"
DSWNBJ,对食物内部解冻，在加热，等方面有着巨大忧试的电能加热设备是（ ）。,"微波炉"
DTCHX_,刀头呈弧形，刀腰至刀跟较平，刀身略长、略轻薄的（ ），重约750g，适用于切削、剔等。,"圆头刀"
DXCP_G,典型菜品“锅贴鱼”锅贴鸭“原料的片形是（ ）。,"平刀片"
DYZLDP,单一主料的配菜要将（ ）与菜品灵活地组合在一起丰富菜品。,"调味料"
FHWZFC,复合味中非常典型的味型之一，一直深受人们喜爱的（ ），除普遍使用的“糖醋”味型外还有“茄汁”“山楂”等。,"酸甜味"
FLYC_P,辅料又称’配料‘，在菜肴中为从属原料，指配合辅佐衬托和点缀主料的原料，所占的比例较少通常在（ ）以下作用是补充或增强主料的风味特性。,"30%-40%"
FSSYYQ,翻勺时由于其翻动的动作大，故称（ ）是左手握住炒勺，用力向上一翻，不仅使勺内菜肴全部翻个，而且超出勺口。,"大翻"
FXDFJF,反斜刀法即反斜批，右側角度为钝角角度为（ ）度。,"130~140"
FYDQYQ,放养的禽与圈养的禽相比，红肌纤维的数量（ ）所以前者的味要鲜美得多。,"多"
FZXPFZ,辅助性拍粉主要起定形和防止黏结的作用，如（ ）属于辅助性拍粉而定的形。,"菊花鱼"
GBNRSS,干煸牛肉丝属于（ ）的烹调方法。,"煸炒"
GBNRSS,干煸牛肉丝属于（ ）烹调方法。,"煸炒"
GCLSCG,根菜类蔬菜根据烹调要求削去外皮，切掉老根的（ ），如萝卜，胡萝卜，藕等。,"削皮-整理"
GHYLDZ,干货原料的涨发的（ ）加工主要是利用渗透作用和毛细现象,"冷水发"
GHYLZF,干货原料涨发的目的就是使干货原料最大限度地吸水膨润，因此，没有（ ）加这一环节，涨发工作就不能完成。,"水发"
GLFRRS,干料放入热水中浸泡而不在继续加热使其慢慢泡发涨大，（ ）法多用于形体小，质地㜛的干料。如银鱼，粉丝等。,"泡发"
GTY_GT,锅贴鸭，锅贴鱼属于（ ）的平刀法。,"平刀片"
GYHAZL,工业化腌制腊肉时，规定亚硝酸盐的用量不能超过（ ）。,"万分之1.5"
GZCYDS,各种菜肴都是由一定的质和量构成的，所谓的（ ）是指组成菜肴的各种原料的营养成分和风味指标。,"质"
GZCYDY,各种菜肴都由一定的质和量构成的，所谓的（ ）是指菜肴中各种原料的重量及菜肴的重量。,"量"
GZFY_S,锅中放油 烧热，将葱姜蒜煸香，放入番茄酱炒透，加水，盐，糖熬煮，最后加入白醋，勾芡后淋人热油搅拌均匀，浇在成熟菜品上是（ ）的调配方法。,"酸甜味-茄汁味"
HGRDPT,回锅肉的烹调方法是（ ）。,"熟炒"
HHSDPL,混合式的配料，原料之间的重量比例要（ ）。,"基本一致"
HJYW_H,花椒盐味，胡椒盐味，韭菜酱味，孜然盐味属于（ ）复合味型。,"咸香味"
HSW_FR,红烧味，腐乳味，酒酿味，瓜姜味，冰糖烧味属于（ ）复合味型。,"咸甜味"
HSW_FR,红烧味，腐乳味，酒酿味，瓜姜味，冰糖味属于（ ）复合味型。,"咸甜味"
HYYC_Z,含有乙醇、酯类、氨基酸等成分的（ ），其中乙醇可以促进异味的挥发，同时还能与有异味的酸在加热时形成具有香气的酯类；酯和氨基酸能促进肉的香味。,"料酒"
JCDGYL,焦炒的工艺流程（ ）。,"选料-切配-喂味-拍粉或挂糊-炸制-炒制调味-装盘"
JCLSCS,茎菜类蔬菜是以植物的茎部作为食用部位的蔬菜，如冬笋，春笋，茭白，莴笋等，其加工方法较为简单，即（ ）后用清水洗净。,"去皮、整理"
JCYKF_,仅次于烤方，为长方快中第二大形制，常用于肉的加工，卤方，熏方皆属（ ），适用于炖，焖“东坡肉”。,"酱方"
JD_ZAZ,鸡的（ ）在熬制浓汤时将其溶在浓汤中，用大火翻煮，油脂在鲜汤中形成乳化物，使汤的口味产生特殊的鲜美味道。,"鸡油"
JD_ZAZ,鸡的（ ）在熬制浓汤时将其溶在汤中，用大火翻煮形成氯化物，使汤的口味产生特殊的鲜美味。,"鸡油"
JDFDQL,鸡的分档取料后（ ）宜于加工成丁，丝，片，茸等来烹饪菜肴。,"鸡脯"
JDFDQL,鸡的分档取料左手抓住一侧鸡腿，反关节用力，用刀在腰窝处划断筋膜，再用刀在其坐骨处割划筋膜，用力即可撕下鸡腿。以上是鸡分割步骤的（ ）。,"第三步"
JDFGBZ,鸡的分割步骤的（ ）将光鸡平放在砧板上，在脊背部自两翅间至尾部用刀划一长口，再从腰部窝处至鸡腿内側用刀划破鸡皮。,"第一步"
JDHXLY,鸡豆花选料用鸡的（ ）为原料。,"鸡脯"
JDZF_Z,鸡的脂肪，在熬制农汤时用大火翻煮，油脂在鲜汤中形成（ ），使的口味产生特殊的味道。,"氯化物"
JFDQLH,鸡分档取料后（ ）适宜于煮，酱，卤，炸，烧，炖等,"鸡翅"
JFDQLH,鸡分档取料后的（ ）适宜于加工成丁、剁块，适用于炒，爆，炸，烧，煮等。,"鸡腿"
JFDQLH,鸡分裆取料后，（ ）适宜于酱、卤、煮、烧等。,"鸡爪"
JFXPD_,即反斜批的（ ），右侧角度为钝角（约130°-140°），一般来说此刀法所用的是推力，故又叫“斜推批”。,"反斜刀法"
JGBZ_Z,加工步骤：宰杀→放血→烫毛→煺毛→取出嗉嚷→取出内脏→洗涤是（ ）粗加工。,"鸡"
JGLFRS,将干料放入水中，加热煮沸，使之涨发的（ ）。该法多用于体质坚硬，厚大而常有较重腥臊气的干料。如鱼翅、海参等。,"煮发"
JGTFZT,将固体粉状调料黏附于原料的表面的（ ），使菜品带味的方法。如“粉蒸肉”。,"粘撒调味法"
JGYLYD,加工有鳞鱼的第一个工序是（ ）适用于加工骨牌鳞鱼类，如，黄鱼，草鱼等。,"刮鳞"
JGYPFZ,将光鸭平放在砧板上，用刀在背脊部自两翅间至尾部划一长口，再从腰部窝处至鸭腿裆内侧用刀划破皮，是鸭分割步骤的（ ）。,"第一步"
JGYZS_,加工鸭掌时，鸭掌放入开水中小火（ ）。,"焖煮"
JHBHZJ,几乎不含直接链淀粉，不易老化，异吸水膨张，也较易糊化，有较高的黏性所以适宜制作元宵，年糕等。,"糯米淀粉"
JJGJGD,将经过加工的各种装饰花型，围摆或镶嵌在整盘的四周或中心此技法称（ ）。,"装饰点缀花"
JJRSDW,京酱肉丝的味型是（ ）。,"咸鲜味-甜面酱汁"
JLCYLG,将冷菜原料盖面修成长方体后，再用平刀法将原料修成一头宽一头窄的形状，以便（ ）盖面时成扇形。,"扇形冷菜"
JQGGDG,家禽骨骼的骨密质非常致密，大部分大部份骨骼为（ ），使骨骼具有坚固又较轻的特点。,"含气骨"
JTFGFF,鸡腿分割方法的第2步，将股骨头露出，用尖刀将连接处的（ ）。,"结缔组织"
JTWLZG,将调味料在锅中调配好以后，淋浇到已成熟的原料上面，使菜品带味的方法的（ ），此法主要适用于脆熘或软熘的菜肴。,"烧汁调味法"
JYCXQN,具有脆性且黏滑的原料适用于（ ），如熟牛肉，猪肚，葱段等的加工。 ,"反斜刀法"
JYDBLL,借用大臂力量，将刀高扬，猛击原料的（ ）刀法。专指对大型动物头颅的开片刀法。,"砍剁"
JYDD_Y,即一刀断，一刀不断，两片相连的片形是（ ）。,"夹刀片"
JYDLZF,鸡油的炼制法一种是煎，还有一种可以（ ）。,"蒸"
JYLCLH,将原料处理后，投入中温油中加热成熟，再与配料，调料翻拌勾芡的加工方法的（ ），它的原料多选用动物性原料并需要上浆，成熟时需要勾芡。,"滑炒"
JYLDCF,将原料叠成方正的墩，再切成丝的（ ），适用于软，脆嫩性原料，如豆腐，白菜等。,"叠切式"
JYLFRL,将原料放入冷水中，通过加热升温使水沸腾的（ ），使原料最终成熟。,"冷水预熟处理法"
JYLJGK,将原料经过快速加热，翻拌均匀成熟（ ）的加工方法。炒是菜肴制作中较快的一种方法，是中国烹调中的特色方法之一。,"炒"
JYLQDR,将原料嵌刀刃，随刀杨起剁下断离的方法，一些带骨的圆而滑的原料常用此刀法，如鱼头等，对这些原料采用（ ）的刀法能提高准确性与安全性。,"跟刀剁"
JYLRFS,将原料入沸水中加热，短时间使原料成熟的（ ）加工方法。,"氽"
JYLYSL,将原料用少量油加热，至原料两面金黄而成熟（ ）的加工方法，它属于一种特殊的炸法。,"煎"
JYTHGT,将液体或固体状态的调味料黏附于原料的表面，（ ）使原料增味的调味方法。,"包裹调味法"
JYYPDW,椒盐鱼片的味型属于咸香味的（ ）。,"蘸碟味"
JZCDQZ,煎制菜的芡汁处理，原料可直接或（ ）后下锅煎制。,"拍粉托蛋液"
KLX_QB,颗粒小，且不均匀的（ ），糊化温度高，糊化黏度上升缓慢，最适合勾芡。,"玉米淀粉"
LCLPDD,冷菜冷盘的大多数以一种原料组成一盘菜肴的（ ），有时可根据需要铺以适当的点缀，增加美观。,"单一原料冷盘"
LCZPDB,冷菜装盘的步骤一般分为垫底，围边（ ）三个步骤。,"盖面"
LCZPSD,冷菜装盘时的用料做大料大用，小料小用（ ）保质保量。,"边角料充分利用"
LDYLJD,冷冻原料解冻后的品质主要在0-5℃最大冰晶生成带通过的时间，（ ）能使冷冻原料迅速通过最大冰晶生成带，并能较好地保存原料的营养和风味。,"微波解冻法"
LTWJ_Z,两头微尖，中间略宽，片体较薄，形似柳叶的（ ），从禽类胸肌或畜类里脊等肌肉上横或斜向取片，用于炒或氽。,"柳叶片"
LXDBCX,料形的边长相等，相对钝角，锐角构成，又叫“象眼块”的（ ）适用于不易变形的原料，用于冷盘的造型，如羊膏，酱牛肉等,"菱形块"
LXSYTW,料形是一头微圆而宽，一头微尖而窄的（ ），形似玉兰花，从鱼类轴上肌斜向取片，用于滑炒。如墨鱼片。,"玉兰片"
LXXSQD,连续迅速切断原料者称为（ ）的特殊刀工方法。,"跳切"
LXY_YL,料形以（ ）原料制成的菜有“松子牛肉粒”“滑炒鸽 松”等。,"粒"
LYPS_D,柳叶片是（ ）的专门刀法。,"正斜刀法"
LZLCDG,冷制冷菜的工艺流程中（ ）的操作程序是：选料→加工→调汁→泡制→装盘。,"泡"
LZLCZZ,冷制冷菜中制作（ ）程序为：将加工整理后的原料先用盐腌，再调拌其他调味品一起腌制。也可将盐与其他调料一起与原料拌和腌制。,"腌"
LZYSLC,两种以上凉菜原料组成一盘菜肴是（ ），除花色冷盘外，主要用于拼盘和花色冷盘的围碟。,"多种原料冷盘"
MDCYPT,磨刀采用平推翘拉的磨法是（ ），平推是对刀板的磨制，能保持平滑，翘磨是直接对刀刃磨制，但又损伤刀刃适用于一般切，削刀具的研磨。,"平翘结合"
MDDYJC,磨刀的用具常用的有（ ）种。,"3"
MDSDSY,磨刀时刀身与刀石保持一定的锐角角度，推拉研磨（ ），适用于磨制刀身后重的砍剁力，可以直接对刀刃进行研磨，而不磨及刀身。,"翘磨"
MLW_GW,麻辣味，怪味，家常味的味型是复合味的（ ）的味型。,"咸辣味"
MLW_GW,麻辣味，怪味，家常味属于（ ）复合味型。,"咸辣味"
PCGCZ_,配菜过程中，要根据原料的具体品种，菜肴成品的基本特征选择与其形态大小色彩（ ）的盛装器皿。,"相适宜"
PCJSSP,配菜就是使烹调原料适当（ ），成为一份可以直接食用或经过烹调后食用的菜品。,"配合"
PCXSPC,劈柴形似劈柴，由撬刀法产生又称撬刀块，是一种特殊块形仅用于（ ）的料形。,"烩冬笋"
PDFYYT,平刀法运用推片和拉片刀法的结合运用的，操作时持刀要平稳，下刀部位要准确推，拉动作要协调一致，对韧性较强，软烂易碎或块体较大的原料常用（ ）刀法。如面包等。,"锯片"
PFDGYL,拍粉的工艺流程的第三步是（ ）。，也是它的最后一道工序。,"拍粉"
PFGYLC,拍粉工艺流程的第二步是（ ）。,"拖蛋液"
PFGYLC,拍粉工艺流程的第一步是（ ）。,"前期加工"
PFTDHD,拍粉托蛋糊的工艺流程是（ ）。,"腌渍-拍粉-粘蛋液"
PSJQHD,排是将切好的原料平排式叠排（ ）置于盘中的一种拼盘手法。,"成形"
PTCDWJ,普通菜的味精在（ ）的作用下，才能显示提鲜的魅力。,"咸味"
PTWJZY,普通味精只有在（ ）的作用下，才能显示提鲜魅力。,"咸味"
PTZSCD,烹调中所称的温油锅’其油温大制为（ ）。,"60℃-100℃"
QFYYWL,切法运用腕力，刀刃离料（ ）向下割离原料。,"0.5~cm1"
QGLYP_,切割柳叶片、抹刀片的专门刀法是（ ），能相对扩大较薄原料的坡度面，增加与汤卤的接触面。,"正斜刀法"
QLEDZS,禽类鹅的宰杀方法是（ ）。,"宰杀-放血"
QLJDZS,禽类鸡的宰杀方法是（ ）。,"宰杀-放血"
QLYLLD,禽类原料冷冻的关键在于冷冻前必须使原料通体降温。冻制时将原料放人（ ）温度的冰库中速冻。10h后放入－18°C温度冰箱保存。,"（-32℃）"
QTDF_S,其它刀法（ ）是刀平刃向外，紧贴皮层，运用推力向前使皮与肉分开。,"铲"
QTDFD_,其它刀法的（ ）刀身垂直，紧压料面，作平面横向运行，适用于去除附着于原料表层的骨膜及去皮层毛根。,"刮"
QTDFD_,其它刀法的（ ）刀身横平猛击原料，使之松裂，适用于对纤维较长，较为紧密原料的加工，如姜块等。,"拍"
QTDFD_,其它刀法的（ ）是尖刀插入原料一側，旋转挖孔，用于去除虫眼和霉斑杂质。,"剜"
QTDFD_,其它刀法的（ ）是左手持料，右手持刀，悬空切去老根或皮。常用于清理加工。,"削"
QZDCZL,清蒸的操作流程是（ ）。,"选料-切配-腌渍预制-蒸制-出锅"
QZGLRS,茄汁咕噜肉是（ ）的味型。,"酸甜味-茄汁味"
